Sample in Buffer,Sample in Window,TRIGGER,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/read_len_1[0:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/read_len_2[2:1],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/read_len[3:3],aquila_soc_i/aquila_0/inst/aquila_core/D_Cache/S_nxt[3:0],aquila_soc_i/aquila_0/inst/aquila_core/D_Cache/S[3:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/allocator/FREE_ST[3:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_addr[31:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_datain[255:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_dataout[255:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/allocator/MAIN_ST[3:0],aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_size[7:0],aquila_soc_i/aquila_0/inst/aquila_core/dcache_is_flushing,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_done,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_rw,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/dmm_unit_strobe,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/free_request,aquila_soc_i/aquila_0/inst/aquila_core/Memory_Management/free_request_o,u_ila_0_stall_i
659,659,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
660,660,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
661,661,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
662,662,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
663,663,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
664,664,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
665,665,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
666,666,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
667,667,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
668,668,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
669,669,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
670,670,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
671,671,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
672,672,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
673,673,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
674,674,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
675,675,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
676,676,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
677,677,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
678,678,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
679,679,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
680,680,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
681,681,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
682,682,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
683,683,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
684,684,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
685,685,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
686,686,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
687,687,0,0,0,0,6,6,0,8001c080,0000000000000000000000000000000000000000000000000000000000000000,20656e6974666f7365726177746e692075727265000a7470726573556d697420,"IDLE",08,1,0,1,1,0,0,1
